description,amount,category
"Rent transfer Rs 7,651 to landlord",7651.29,rent
"UPI: Rs 18,613 to ciplahealth@axisbank for purchase",18612.74,health_medical
AXIS: RS 158 DEBITED FOR OLA PURCHASE,157.56,transport_ride
"UPI: Rs 7,841 to dtdc@axl for purchase",7840.82,other
Salary for Sep - Rs 279798 from Accenture,279798.43,salary
HDFC: Rs. 9091 debited from a/c **2679 for Gift card,9090.72,gifts
"Rs 1,886.38/- debited Pune Municipal Water ICICI",1886.38,bills_water
Headspace - Rs.539 paid via UPI,538.9,subscription
IndusInd CC: CrossFit Rs 1598,1598.45,health_fitness
BOB Debit: Rs 6693/- to courier@kotak UPI,6693.08,other
"Paid Rs 42,488 to client payment via GPay",42487.67,freelance
Monthly salary credit INR 215389 TCS,215389.18,salary
SBI SMS: INR 4346 debited UPI txn to kseb@icici,4345.93,bills_electricity
"yes bank: rs.2,065 paid to spotify via upi ref 664003494",2065.24,entertainment
"PhonePe: Rs 4,631 paid to Marks Spencer",4631.12,shopping_offline
Canara: Rs.2946/- paid to HP Gas via UPI Ref 395723682,2945.71,transport_fuel
"Rs 12,549.96/- debited Myntra SBI",12549.96,shopping_online
PAYMENT OF RS 856 TO SWIGGY INSTAMART SUCCESSFUL,855.55,groceries
Investment: Rs 82846/- to Motilal Oswal via UPI,82846.13,investment
"SIP debit Rs 21,311 5Paisa folio",21310.51,investment
"VAN HEUSEN - RS.9,621 PAID VIA UPI",9621.26,shopping_offline
"UPI: Rs 15,716.34 to indigo@axisbank for purchase",15716.34,travel
"CARD **7912 used at BPCL for Rs.3,662",3662.16,transport_fuel
"Kuvera: SIP of Rs 52,393 debited",52393.49,investment
sbi sms: inr 1409 debited upi txn to o2spa@ybl,1409.0,personal_care
Axis: Rs 28564/- debited from a/c **1409 for Scaler Academy,28564.26,education
Payment of Rs 1250/- to F45 Training successful,1250.39,health_fitness
"Rent transfer Rs 17,614.89 to landlord",17614.89,rent
"IndusInd SMS: INR 1,657.64 debited UPI txn to atmwithdrawa@paytm",1657.64,other
Rs 4255/- debited Diwali gift IndusInd,4254.9,gifts
"Rs 1,713.94/- dbtd Naturals Salon ICICI",1713.94,personal_care
"SBI: Rs 43,292 debited for Samsung Finance EMI",43292.21,emi
"Paid Rs 6,478 to MSEDCL via GPay",6477.69,bills_electricity
Kotak Debit: Rs 967 to headspace@sbi UPI,966.59,subscription
"PharmEasy - Rs.5,185 paid via UPI",5185.41,health_medical
ICICI Debit: Rs 12032/- to reliancetren@okhdfcbank UPI,12032.22,shopping_offline
"Monthly rent Rs 24,529 paid via UPI",24528.67,rent
"Kotak SMS: INR 4,293.95 debited UPI txn to jawedhabib@paytm",4293.95,personal_care
UPI: Rs 866 to zomato@paytm for purchase,865.77,food_delivery
PhonePe: Rs 488.44 paid to Theobroma,488.44,food_delivery
Paid Rs 757 to Chaayos via GPay,757.31,food_delivery
BOB: RS.8419 PAID TO SNAPDEAL VIA UPI REF 959033676,8419.03,shopping_online
"Rs 1,629.35/- debited DishTV ICICI",1629.35,bills_telecom
"PNB Credit: Rs 255,135.87 NEFT-ICICI Bank-SALARY",255135.87,salary
"HDFC Alert: INR 3,707.16 spent at Shell",3707.16,transport_fuel
"Apple Music - Rs.1,520.93 paid via UPI",1520.93,subscription
"PhonePe: Rs 1,237.37 paid to DishTV",1237.37,bills_telecom
"HDFC UPI: Rs 4,267 to heritagefres@okhdfcbank",4266.63,groceries
"HDFC UPI: Rs 4,396 to spencers@kotak",4396.04,groceries
HEALTHIFYME - RS.2161 PAID VIA UPI,2161.1,health_fitness
"Rs. 4,182/- debited Lakme Salon IndusInd",4181.8,personal_care
"hdfc alert: inr 6,247 spent at flipkart",6247.12,shopping_online
Axis Alert: INR 611.42 spent at Cinepolis,611.42,entertainment
PhonePe: Rs 5277 paid to Miscellaneous,5277.34,other
"Canara CC: Yoga House Rs 3,621.72",3621.72,health_fitness
"YES BANK DEBIT: RS 70,673.50 TO 99DESIGNS@KOTAK UPI",70673.5,freelance
HDFC CC: ACT Fibernet Rs 742,742.21,bills_telecom
Monthly rent Rs 36476 paid via UPI,36476.48,rent
"ICICI Debit: Rs 4,577.63 to goldsgym@hdfcbank UPI",4577.63,health_fitness
"Kotak Debit: Rs 29,143 to consultingfe@sbi UPI",29143.48,freelance
"Axis SMS: INR 1,181.46 debited UPI txn to strava@paytm",1181.46,subscription
PhonePe: Rs 188 paid to Chennai Metro Water,187.72,bills_water
INDUSIND UPI: RS 3714 TO BPCL@OKAXIS,3713.53,transport_fuel
upi: rs 367.26 to makemytrip@kotak for purchase,367.26,travel
Yes Bank SMS: INR 2106 debited UPI txn to ratnadeep@axl,2106.22,groceries
"rs 2,167/- debited essar petrol icici",2166.83,transport_fuel
"Monthly salary credit INR 145,071.83 Amazon India",145071.83,salary
"Kotak UPI: Rs 5,434.71 to bescom@okaxis",5434.71,bills_electricity
CARD **2535 used at Vedantu for Rs.41211/-,41210.84,education
"Canara: Rs 1,587 debited for Rapido Bike purchase",1587.46,transport_ride
"Paid Rs 12,841 to PharmEasy via GPay",12841.46,health_medical
Zerodha: SIP of Rs 98207 debited,98207.25,investment
"pepperfry - rs.14,214.97 paid via upi",14214.97,shopping_online
Payment of Rs 9342/- to Dry cleaning successful,9342.17,other
"Rs 2,016/- dbtd BPCL Kotak",2016.24,transport_fuel
ICICI SMS: INR 318 debited UPI txn to dtdc@icici,317.67,other
PhonePe: Rs 918 paid to UHBVN,918.42,bills_electricity
"UPI: Rs 8,587 to tatacliq@okaxis for purchase",8587.19,shopping_online
netflix - rs.864 paid via upi,863.93,entertainment
"content writing - Rs.28,957 paid via UPI",28957.29,freelance
SBI UPI: RS 941.07 TO MEDPLUS@OKHDFCBANK,941.07,health_medical
Rs 438/- debited Grammarly Yes Bank,437.91,subscription
"PHONEPE: RS 13,314.42 PAID TO CONSULTING FEE",13314.42,freelance
"HDFC CC: Jaipur Water Rs 1,668.88",1668.88,bills_water
"ICICI SMS: INR 1,169 debited UPI txn to kfc@kotak",1169.0,food_delivery
SBI: Rs.1057/- paid to Apple TV+ via UPI Ref 741065526,1057.27,entertainment
"bob cc: thai spa rs 2,358",2358.28,personal_care
"Yes Bank: Rs.1,316.45 paid to Xerox via UPI Ref 903091954",1316.45,other
"Payment of Rs 26,875 to Simplilearn successful",26874.97,education
"Salary for Mar - Rs 34,360.24 from HDFC Bank",34360.24,salary
PhonePe: Rs 602 paid to Medanta,601.84,health_medical
"BOB Alert: INR 1,742 spent at BWSSB",1742.27,bills_water
Payment of Rs 1310/- to Dunzo successful,1310.32,transport_ride
"Investment: Rs 42,735.12 to DSP MF via UPI",42735.12,investment
Paid Rs 4749 to FreshToHome via GPay,4749.24,groceries
"ICICI UPI: Rs 9,649 to bata@okhdfcbank",9649.41,shopping_offline
Kotak Debit: Rs 837.93 to olaauto@ybl UPI,837.93,transport_ride
"Rs 3,411.31/- debited Total Energies ICICI",3411.31,transport_fuel
"Canara SMS: INR 4,743.57 debited UPI txn to grofers@icici",4743.57,groceries
"Canara Credit: Rs 94,342.15 NEFT-Infosys-SALARY",94342.15,salary
Yes Bank: Rs 41925/- NEFT to Flat rent,41924.64,rent
loan emi rs 40763 paid to idfc first emi,40762.6,emi
Kotak: Rs.3456 paid to Spar Hypermarket via UPI Ref 839393192,3456.46,groceries
PAID RS 64057 TO PROJECT PAYMENT VIA GPAY,64057.22,freelance
"BOB: RS 1,024.57 DEBITED FOR GRAMMARLY PURCHASE",1024.57,subscription
"UPI: Rs 1,555.49 to wheelseye@okaxis for purchase",1555.49,transport_ride
PhonePe: Rs 2770 paid to Diwali gift,2770.46,gifts
"IndusInd: Rs 28,374 debited from a/c **4582 for Guru.com",28373.57,freelance
"PNB SMS: INR 3,450.99 debited UPI txn to bharatpetrol@sbi",3450.99,transport_fuel
Paid Rs 2111/- to BSES Yamuna via GPay,2110.88,bills_electricity
"CARD **1434 USED AT VISHAL MEGA MART FOR RS.3,425",3424.58,groceries
BOB UPI: RS 18678 TO LIFESTYLE@AXL,18678.01,shopping_offline
"PNB CC: Ola Auto Rs 1,221",1221.07,transport_ride
UPI: Rs 576/- to youtubepremi@okhdfcbank for purchase,575.81,subscription
Kotak: Rs.1686 paid to Urban Company via UPI Ref 229403043,1686.18,personal_care
"INDUSIND: RS 6,773.76 DEBITED FOR TATA POWER PURCHASE",6773.76,bills_electricity
"Investment: Rs 33,125.11 to ICICI Direct via UPI",33125.11,investment
Rs 2264/-/- dbtd Namma Yatri ICICI,2264.31,transport_ride
HDFC MF - Rs 43697 invested in mutual fund,43697.48,investment
Rs 25461/- debited Goibibo Axis,25461.41,travel
CARD **5012 used at Adobe CC for Rs.199,199.24,subscription
"AirAsia - Rs.49,259 paid via UPI",49258.94,travel
Rs 707.74/- debited FASTag PNB,707.74,other
"Kotak: Rs 3,023 dbtd for Lakme Salon purchase",3022.94,personal_care
Rs 2351/-/- dbtd Total Energies Canara,2350.87,transport_fuel
"Paid Rs 11,509.93 to Croma via GPay",11509.93,shopping_online
Canara: Rs.502.76 paid to HMWSSB via UPI Ref 208192050,502.76,bills_water
"Canara: Rs 17,967 debited for DSP MF MF purchase",17967.12,investment
"BOB: Rs 159,886 credited - Salary from Google India",159885.96,salary
IndusInd Debit: Rs 15911/- to shoppersstop@okhdfcbank UPI,15910.89,shopping_offline
Rs 696/-/- debited Box8 PNB,695.6,food_delivery
"Rs 3,501/- debited RedBus Yes Bank",3501.4,travel
"Payment of Rs 12,957 to Narayana Health successful",12956.88,health_medical
CARD **2679 used at BYJUS for Rs.690,690.14,education
"phonepe: rs 12,507 paid to cleartrip",12507.3,travel
"Canara: Rs 23,514.77 debited for Khan Academy purchase",23514.77,education
"HDFC Debit: Rs 3,265 to parking@hdfcbank UPI",3264.93,other
Rs 89150/-/- debited 99designs BOB,89150.31,freelance
"Rs 31,349.97/- debited Simplilearn PNB",31349.97,education
SBI CC: ESSAR PETROL RS 1066/-,1065.71,transport_fuel
"Paid Rs 3,279.61 to Spa via GPay",3279.61,personal_care
"icici sms: inr 2,364.51 debited upi txn to vlcc@okhdfcbank",2364.51,personal_care
IDFC First EMI: EMI Rs 36694/- debited,36693.89,emi
"KOTAK DEBIT: RS 4,921 TO BPCL@YBL UPI",4920.96,transport_fuel
"Rs 18,543.37/- debited SRL Diagnostics BOB",18543.37,health_medical
Kotak CC: Spectra Rs 1214,1213.81,bills_telecom
"PNB SMS: INR 1,133.47 debited UPI txn to funcinemas@axisbank",1133.47,entertainment
Groww: SIP of Rs 49536 debited,49536.2,investment
SBI Alert: INR 44381 spent at BYJUS,44381.29,education
"paid rs 1,283.44 to faasos via gpay",1283.44,food_delivery
"YES BANK: RS.23,752.70 PAID TO MAX HOSPITAL VIA UPI REF 692088353",23752.7,health_medical
ICICI: Rs 361/- dbtd for ACT Fibernet purchase,360.89,bills_telecom
payment of rs 659.15 to urban company successful,659.15,personal_care
"HDFC SMS: INR 1,390 debited UPI txn to ovenstory@okaxis",1389.86,food_delivery
SALARY FOR JAN - RS 111134/- FROM TCS,111133.8,salary
Mirae Asset: SIP of Rs 767 debited,767.46,investment
Monthly rent Rs 18235 paid via UPI,18235.05,rent
UPI: RS 346 TO AUTORICKSHAW@AXISBANK FOR PURCHASE,345.81,transport_ride
"HDFC: Rs.9,664.10 paid to Housewarming gift via UPI Ref 588210640",9664.1,gifts
"Paid Rs 10,505 to GeeksforGeeks via GPay",10505.24,education
"PG RENT PAYMENT RS 5,130 FOR AUG",5129.88,rent
"HDFC MF: SIP of Rs. 24,440 debited",24439.78,investment
Yes Bank Alert: INR 860 spent at PCMC Water,860.31,bills_water
"SBI Alert: INR 1,443.99 spent at Hathway",1443.99,bills_telecom
"PNB: Rs 14,880.08 NEFT to Society maintenance",14880.08,rent
"Axis Debit: Rs 6,669.17 to boatlifestyl@okhdfcbank UPI",6669.17,shopping_online
"Rs 1,783.52/- debited IRCTC PNB",1783.52,travel
"Axis MF: SIP of Rs 67,304 debited",67303.65,investment
"UPI: Rs 1,478 to punemunicipa@kotak for purchase",1477.92,bills_water
HDFC CC: EatFit Rs 1203/-,1202.77,food_delivery
bob: rs.52 paid to uber auto via upi ref 797929178,51.66,transport_ride
Wow Momo - Rs.1302/- paid via UPI,1302.31,food_delivery
"Axis Debit: Rs 1,820.81 to nammayatri@ybl UPI",1820.81,transport_ride
